"종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","종목코드"
"가온전선",22850,500,-0.0214,5000,951,4160,0.0478,14355,10.7,2.12,"000500"
"한국특수형강",1785,20,-0.0111,500,950,53242,0.0059,222916,-6.05,-27.55,"007280"
"사조오양",10050,0,0,5000,947,9423,0.0106,68810,4.64,8.18,"006090"
"미래에셋맵스리츠",4710,10,0.0021,1000,947,20100,0.0014,38273,NA,NA,"357250"
"TRUE 레버리지 S&P500 선물 ETN(H)",18885,425,-0.022,0,944,5000,0,4482,NA,NA,"570022"
"KODEX 국고채3년",58125,15,3e-04,0,942,1620,1e-04,3938,NA,NA,"114260"
"윌비스",1435,20,-0.0137,1000,935,65158,0.0272,1100382,-2.61,-30.75,"008600"
"DSR",5800,190,-0.0317,500,928,16000,0.016,128591,10.6,5.83,"155660"
"대구백화점",8560,10,-0.0012,5000,926,10822,0.0066,16085,-5.12,-6.93,"006370"
"대신증권2우B",9260,30,-0.0032,5000,926,10000,0.0135,41404,8.53,NA,"003547"
"인디에프",1570,50,0.0329,500,925,58933,0.0045,663433,-8.67,-5.02,"014990"
"한국수출포장",23100,150,-0.0065,5000,924,4000,0.0482,22482,7.53,7.51,"002200"
"유니온",5900,220,0.0387,500,921,15612,0.0088,369661,-17,-14.93,"000910"
"키위미디어그룹",1485,0,0,500,921,62023,0,0,-0.72,-272.63,"012170"
"TIGER 미국S&P500레버리지(합성 H)",24830,510,-0.0201,0,919,3700,0,14188,NA,NA,"225040"
"대신 철광석 선물 ETN(H)",45895,655,0.0145,0,918,2000,0,184,NA,NA,"510008"
"대유플러스",784,8,-0.0101,500,915,116663,0.0304,448711,-19.12,11.93,"000300"
"한국내화",3985,115,-0.028,500,911,22864,0.0048,244189,102.18,3.18,"010040"
"KODEX KRX300",19675,440,-0.0219,0,905,4600,0,23155,NA,NA,"292190"
"방림",2135,65,0.0314,500,903,42314,0.0097,3637685,18.09,2.62,"003610"
